-0.967003 0.254765 -0.994234 0.107233 -0.381539 0.323154 -0.383626 0.320672 0.449419 0.21914 -0.374817 -0.330926 -0.0475262 0.497736 0.191482 -0.461882
-0.927695 0.373338 -0.986479 0.163887 -0.366289 0.340342 -0.376096 0.329472 0.496349 0.0603127 -0.44401 -0.229902 0.0688361 0.495239 0.120372 -0.485294
-0.80649 0.591247 -0.976823 0.214047 -0.352545 0.354559 -0.370903 0.335308 0.495965 -0.0633925 -0.489905 -0.0999641 0.195516 0.460189 0.0477319 -0.497716
-0.726484 0.687183 -0.963172 0.268884 -0.335521 0.370709 -0.362859 0.343996 0.480212 -0.139272 -0.498976 0.0319804 0.308036 0.393845 -0.00958298 -0.499908
-0.635141 0.772396 -0.944458 0.328634 -0.315704 0.387725 -0.354041 0.353065 0.465635 -0.182166 -0.47982 0.140614 0.388546 0.314693 -0.0456831 -0.497909
-0.533888 0.845555 -0.920354 0.391087 -0.293669 0.404671 -0.344377 0.362497 0.446852 -0.224328 -0.450179 0.217575 0.43601 0.244735 -0.0643666 -0.49584
-0.308097 0.951355 -0.890882 0.454236 -0.26993 0.420878 -0.334326 0.371787 0.416583 -0.276512 -0.422062 0.268074 0.459634 0.196816 -0.0742493 -0.494456
-0.0631496 0.998004 -0.855854 0.517218 -0.24498 0.435873 -0.324861 0.380086 0.375473 -0.330182 -0.396679 0.304377 0.47213 0.1646 -0.0821615 -0.493203
0.185724 0.982602 -0.813623 0.581393 -0.217387 0.45027 -0.314241 0.388912 0.323444 -0.381293 -0.374962 0.330762 0.480209 0.13928 -0.0882809 -0.492145
0.42305 0.906107 -0.761629 0.648014 -0.184904 0.464554 -0.299376 0.400467 0.262069 -0.425817 -0.354239 0.352866 0.486477 0.115498 -0.0922281 -0.49142
0.634072 0.773274 -0.700851 0.713308 -0.148958 0.477296 -0.281708 0.413087 0.202564 -0.45713 -0.332979 0.372995 0.491546 0.0915557 -0.0945665 -0.490976
0.805672 0.592362 -0.63459 0.772849 -0.112264 0.487234 -0.263963 0.424645 0.157492 -0.474549 -0.313676 0.389368 0.495556 0.0665173 -0.0957949 -0.490738
0.927178 0.374621 -0.567924 0.823081 -0.0776963 0.493926 -0.248384 0.433942 0.134965 -0.48144 -0.298672 0.400993 0.498219 0.0421593 -0.0962441 -0.49065
0.991037 0.133587 -0.503643 0.863912 -0.0458434 0.497894 -0.234071 0.441827 0.11514 -0.486562 -0.285045 0.410791 0.499649 0.0187218 -0.0964088 -0.490617
0.993278 -0.115752 -0.443128 0.896459 -0.016547 0.499726 -0.219713 0.449139 0.0884024 -0.492123 -0.270892 0.420259 0.499991 -0.00303283 -0.0964687 -0.490606
0.993278 -0.115752 -0.386326 0.922362 0.011159 0.499875 -0.204264 0.456373 0.0596439 -0.49643 -0.256555 0.429161 0.499476 -0.0228765 -0.0965286 -0.490594
0.933762 -0.357894 -0.326866 0.945071 0.0406256 0.498347 -0.184245 0.464816 0.00952327 -0.499909 -0.243381 0.436767 0.49808 -0.0437787 -0.0965885 -0.490582
0.816189 -0.577785 -0.251874 0.96776 0.0776173 0.493939 -0.155941 0.47506 -0.0674488 -0.49543 -0.231822 0.443011 0.495411 -0.0675837 -0.0966184 -0.490576
0.64787 -0.761751 -0.143222 0.989691 0.128801 0.483125 -0.115734 0.486421 -0.166265 -0.471546 -0.219568 0.44921 0.491135 -0.0937377 -0.0966484 -0.49057
0.0796997 -0.996819 -0.000344212 1 0.191841 0.461733 -0.0656687 0.495669 -0.265047 -0.42397 -0.205342 0.455889 0.485573 -0.119243 -0.0966633 -0.490567
-0.518602 -0.855015 0.166118 0.986106 0.260211 0.426955 -0.00958401 0.499908 -0.346822 -0.360159 -0.189784 0.462582 0.479612 -0.141324 -0.0966783 -0.490564
-0.962267 -0.272106 0.334856 0.942269 0.324504 0.380391 0.0466979 0.497815 -0.405553 -0.29245 -0.174266 0.468648 0.474261 -0.158355 -0.0967082 -0.490558
-0.939572 0.342352 0.482548 0.875869 0.376912 0.328538 0.098127 0.490277 -0.445348 -0.2273 -0.158902 0.474078 0.469246 -0.172652 -0.0967082 -0.490558
-0.748884 0.662701 0.597665 0.801746 0.415204 0.278578 0.142262 0.479335 -0.469805 -0.171122 -0.142769 0.479184 0.464044 -0.186182 -0.0967382 -0.490552
-0.339492 0.940609 0.678657 0.734455 0.440705 0.236176 0.178212 0.467162 -0.485276 -0.120447 -0.126561 0.483717 0.458202 -0.200128 -0.0967681 -0.490547
-0.219573 0.975596 0.739357 0.673314 0.458599 0.199215 0.208264 0.454562 -0.494502 -0.0739466 -0.111802 0.48734 0.451659 -0.214485 -0.0967981 -0.490541
0.0286191 0.99959 0.792525 0.609839 0.472629 0.163162 0.234377 0.441664 -0.498737 -0.0355232 -0.0991395 0.490073 0.444821 -0.228329 -0.096828 -0.490535
0.392753 0.919644 0.844503 0.53555 0.484318 0.124241 0.257711 0.428468 -0.499994 -0.00250257 -0.0885585 0.492095 0.438427 -0.240379 -0.0968579 -0.490529
0.608067 0.793886 0.893136 0.449787 0.49319 0.0822429 0.279014 0.414911 -0.499262 0.0271472 -0.0800307 0.493554 0.432841 -0.250297 -0.0968879 -0.490523
0.856589 0.515999 0.934854 0.355033 0.498529 0.0383302 0.298577 0.401063 -0.497515 0.049783 -0.073336 0.494593 0.427799 -0.25882 -0.0969178 -0.490517
0.986059 0.166396 0.966848 0.255353 0.499962 -0.00615715 0.317267 0.386448 -0.494892 0.0712893 -0.0671723 0.495467 0.422206 -0.267848 -0.0969478 -0.490511
